BillingAccountId,ChargePeriodStart,ServiceCategory,ServiceName,ResourceId,BilledCost,BillingCurrency,team,project
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0009,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0008,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0006,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0002,USD,eval,nightly-eval
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0007,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0078,USD,eval,nightly-eval
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.001,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0041,USD,eval,nightly-eval
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0004,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0006,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0057,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0002,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,eval,nightly-eval
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0005,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0004,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0007,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0004,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0014,USD,eval,nightly-eval
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0006,USD,rag,
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0011,USD,search,
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0008,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0185,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0492,USD,eval,nightly-eval
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.004,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0011,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0002,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,eval,nightly-eval
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0005,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0007,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0004,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0148,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0006,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0008,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0005,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0004,USD,assistant,chat
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0003,USD,eval,nightly-eval
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0009,USD,search,
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0012,USD,eval,nightly-eval
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0011,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0006,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0006,USD,search,web-search
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0005,USD,rag,doc-qa
nimbusai-prod,2026-06-01,AI and Machine Learning,gpu-inference,,0.0196,USD,search,web-search
